        1998           9           7           5   19.953089    
        1998           9          10           5   19.628746    
        1998           9          13           5   16.004843    
        1998           9          13          17   26.298357    
        1998           9          20           5   20.554153    
        1998           9          23          17   74.078453    
        1998           9          26           5   21.793095    
        1998           9          29           5   24.105135    
        1998           9          29          17   16.306223    
        1998          10           2           5   84.217041    
        1998          10           2          17   85.215897    
        1998          10           6           5   75.931038    
        1998          10           9           5   54.027473    
        1998          10          12           5   22.515579    
        1998          10          12          17   28.032169    
        1998          10          15           5   27.823996    
        1998          10          15          17   18.095629    
        1998          10          18           5   30.333164    
        1998          10          18          17   44.919651    
        1998          10          21           5   25.901060    
        1998          10          25           5   43.436440    
        1998          10          28           5   21.741879    
        1998          10          31           5   81.703102    
        1998          11           3           5   78.584373    
        1998          11           3          17   54.092541    
        1998          11           6           5   61.816257    
        1998          11           6          17   76.740250    
        1998          11          10           5   54.541988    
        1998          11          13           5   44.711140    
        1998          11          16           5   43.720036    
        1998          11          19           5   36.473076    
        1998          11          22           5   38.067005    
        1998          11          22          17   37.627060    
        1998          11          25           5   35.858288    
        1998          12           2           5   49.905285    
        1998          12           5           5   56.508728    
        1998          12           8           5   45.767738    
        1998          12           8          17   50.762001    
        1998          12          11           5   34.815319    
        1998          12          11          17   40.761158    
        1998          12          15           5   47.763760    
        1998          12          18           5   42.142944    
        1998          12          18          17   45.132397    
        1998          12          21          17   9.0083714    
        1998          12          24           5   8.0763597    
        1998          12          27           5   13.690186    
        1998          12          27          17   32.271030    
        1998          12          30           5   5.4415088    
        1999           1           3           5   4.7443452    
        1999           1           6           5   2.8618317    
        1999           1           6          17   14.282368    
        1999           1           9          17   5.3579817    
        1999           1          12           5   10.464833    
        1999           1          12          17   13.036163    
        1999           1          15           5   15.142481    
        1999           1          19           5   39.807003    
        1999           1          22           5   15.913784    
        1999           1          22          17   26.866947    
        1999           1          25           5   15.314185    
        1999           1          25          17   13.155884    
        1999           1          28           5   16.249283    
        1999           1          28          17   16.865534    
        1999           1          31           5   74.358986    
        1999           2           3           5   58.025375    
        1999           2           4          16   46.790890    
        1999           2           7           5   65.640350    
        1999           2           7          17   61.066051    
        1999           2          10           5   68.182014    
        1999           2          10          17   59.924713    
        1999           2          13          17   44.574364    
        1999           2          16           5   36.868584    
        1999           2          16          17   51.542324    
        1999           2          19           5   23.016445    
        1999           2          19          17   22.254128    
        1999           2          23           5   60.658978    
        1999           2          26           5   37.143757    
        1999           3           1           5   19.806274    
        1999           3           1          17   24.332582    
        1999           3           4          17   17.893604    
        1999           3           7           5   11.643957    
        1999           3           7          17   14.678145    
        1999           3          14          17   45.242924    
        1999           3          17           5   75.885406    
        1999           3          17          17   68.169708    
        1999           3          20           5   66.137032    
        1999           3          20          17   68.566704    
